bodyId,class,type,instance,somaSide
58941,DAN,PAM08,PAM08(y4)_L,L
58950,Kenyon_Cell,KCg-m,KCg-m_R,R
58961,Kenyon_Cell,KCg-m,KCg-m_R,R
58980,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
59001,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
59078,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
59090,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
59174,Kenyon_Cell,KCg-m,KCg-m_R,R
59261,Kenyon_Cell,KCg-m,KCg-m_R,R
59286,Kenyon_Cell,KCg-m,KCg-m_R,R
59320,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
59384,Kenyon_Cell,KCg-m,KCg-m_R,R
59442,Kenyon_Cell,KCg-m,KCg-m_R,R
59463,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
59494,Kenyon_Cell,KCg-m,KCg-m_R,R
59616,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
59715,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
